Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
395	Spectrogram 1	1	3791.185747514	3791.709336780	1579.300	1883.000	B	
398	Spectrogram 1	1	3807.578936198	3808.102525464	1579.300	1883.000	B	
405	Spectrogram 1	1	3835.814230022	3836.337819288	1579.300	1883.000	B	
410	Spectrogram 1	1	3855.365313410	3855.888902676	1579.300	1883.000	B	
416	Spectrogram 1	1	3879.421040714	3879.944629980	1579.300	1883.000	B	
426	Spectrogram 1	1	3915.760049624	3916.283638890	1579.300	1883.000	B	
434	Spectrogram 1	1	3949.335900668	3949.859489934	1579.300	1883.000	B	
441	Spectrogram 1	1	3975.040234766	3975.563824032	1579.300	1883.000	B	
454	Spectrogram 1	1	4021.479862766	4022.003452032	1579.300	1883.000	B	
462	Spectrogram 1	1	4051.085125616	4051.608714882	1579.300	1883.000	B	
468	Spectrogram 1	1	4074.328159430	4074.851748696	1579.300	1883.000	B	
474	Spectrogram 1	1	4098.360666920	4098.884256186	1579.300	1883.000	B	
480	Spectrogram 1	1	4122.532493294	4123.056082560	1579.300	1883.000	B	
491	Spectrogram 1	1	4174.568096468	4175.091685734	1579.300	1883.000	B	
497	Spectrogram 1	1	4203.964380992	4204.487970258	1579.300	1883.000	B	
503	Spectrogram 1	1	4228.623823460	4229.147412726	1579.300	1883.000	B	
517	Spectrogram 1	1	4282.493791940	4283.017381206	1579.300	1883.000	B	
526	Spectrogram 1	1	4325.473667654	4325.997256920	1579.300	1883.000	B	
530	Spectrogram 1	1	4347.277073000	4347.800662266	1579.300	1883.000	B	
536	Spectrogram 1	1	4383.407103584	4383.930692850	1579.300	1883.000	B	
551	Spectrogram 1	1	2734.905983990	2735.403446048	1626.100	1890.800	B	
553	Spectrogram 1	1	2871.423780230	2871.796876772	1626.100	1928.600	B	
580	Spectrogram 1	1	3991.388487159	3992.045847735	1645.000	1871.800	B	
588	Spectrogram 1	1	4143.523034420	4144.091562485	1588.200	1909.700	B	
594	Spectrogram 1	1	4263.144888125	4263.677883186	1550.400	1909.700	B	
605	Spectrogram 1	1	4413.449489041	4413.911418094	1645.000	1928.600	B	
5	Spectrogram 1	1	2283.487526886	2284.251486473	1834.000	2250.000	C	
16	Spectrogram 1	1	2328.152511202	2328.667739761	1890.800	2212.200	C	
26	Spectrogram 1	1	2366.226124168	2366.847951739	1871.800	2136.600	C	
33	Spectrogram 1	1	2395.061155167	2395.718515742	1890.800	2231.100	C	
44	Spectrogram 1	1	2450.457106715	2451.007868279	1890.800	2212.200	C	
53	Spectrogram 1	1	2481.299749985	2481.726146034	1834.000	2231.100	C	
63	Spectrogram 1	1	2520.528184677	2521.043413236	1852.900	2136.600	C	
72	Spectrogram 1	1	2557.944436161	2558.441898218	1871.800	2174.400	C	
80	Spectrogram 1	1	2590.439367486	2591.096728062	1834.000	2155.500	C	
90	Spectrogram 1	1	2630.342929256	2630.804858309	1890.800	2136.600	C	
99	Spectrogram 1	1	2667.830243383	2668.434304452	1852.900	2117.600	C	
110	Spectrogram 1	1	2711.180506548	2711.695735107	1890.800	2250.000	C	
131	Spectrogram 1	1	2752.215170084	2752.780737066	1867.100	2187.000	C	
136	Spectrogram 1	1	2770.721361842	2771.286928824	1867.100	2187.000	C	
145	Spectrogram 1	1	2807.130030194	2807.695597176	1867.100	2187.000	C	
154	Spectrogram 1	1	2842.377707846	2842.943274827	1867.100	2187.000	C	
163	Spectrogram 1	1	2878.972134710	2879.537701691	1867.100	2187.000	C	
172	Spectrogram 1	1	2915.357583248	2915.923150230	1867.100	2187.000	C	
180	Spectrogram 1	1	2947.261607684	2947.827174666	1867.100	2187.000	C	
195	Spectrogram 1	1	3005.891638034	3006.457205016	1867.100	2187.000	C	
