BirdID,RecA Time,RecA End,nsk
power2,3449.818610208431,3451.071482795931,1
power2,3452.397352544,3453.8689678726364,1
power1,3453.101545502,3454.3545377356363,1
power2,3455.3245735735654,3456.5519675614746,1
power1,3457.072133696,3458.517485199091,1
power2,3457.7871563444696,3459.4210790402317,1
power2,3460.807305025767,3461.7945311627673,1
power1,3461.27492003,3462.5003499705,1
power2,3463.1585177033116,3464.547753695145,1
power1,3464.8739912,3466.3282739775455,1
power2,3465.7789343934414,3467.0063283813506,1
power1,3468.70526051,3470.0905054848,1
power2,3468.7990830747385,3469.817523393284,1
power2,3471.4242892361744,3473.0582119319365,1
power1,3472.211452424,3473.6017790572,1
power2,3474.560597482137,3476.032212810773,1
power1,3475.996282106,3477.1753175112144,1
power2,3477.9756886832965,3479.2852982972963,1
power1,3479.223836252,3480.669187755091,1
power2,3480.9493735387277,3482.176767526637,1
power1,3483.10154519,3484.5016069453,1
power2,3483.342260570833,3484.8926380872495,1
power1,3486.747055988,3488.1091583701664,1
power2,3486.9199751625238,3488.1728477500237,1
power2,3489.6148770627583,3491.032508477031,1
power1,3491.46067823,3492.9149610075456,1
power2,3492.704721482855,3493.9231134562547,1
power2,3495.236999992558,3496.87092268832,1
power1,3495.338387168,3496.591379401636,1
power2,3498.0945252833244,3499.404134897324,1
power1,3499.912690526,3501.2979355008,1
power2,3500.557108054228,3502.122213767728,1
power2,3503.6469524743247,3504.634178611325,1
power1,3504.23157593,3505.6219025632,1
power2,3506.063071419363,3507.290465407272,1
power2,3508.5488861032,3510.0992636196165,1
power1,3508.550461334,3509.7294967392145,1
power2,3511.847817739694,3513.066209713094,1
power1,3512.12631269,3513.571664193091,1
power2,3514.635647291661,3516.0532787059337,1
power1,3516.607736792,3518.0077985473004,1
power2,3518.9567830972096,3520.2096556847096,1
power1,3520.183588148,3521.5456905301667,1
power2,3521.581989258645,3523.0536045872814,1
power1,3523.434362108,3524.8886448855455,1
power2,3524.5324422011436,3525.5196683381437,1
power2,3526.948561146182,3528.582483841944,1
power1,3527.590708814,3528.8161387545,1
power2,3529.968709827479,3531.2783194414787,1
power1,3530.678944076,3532.124295579091,1
power2,3532.733307466513,3534.2836849829296,1
power1,3534.30123506,3535.5542272936364,1
power2,3536.009007190074,3537.236401177983,1
power1,3538.155724184,3539.348186496,1
power2,3538.5180537868446,3540.0831595003447,1
power2,3541.2129556870786,3542.6305871013515,1
power1,3541.824454796,3543.2245165513,1
power2,3544.0007852390454,3545.219177212445,1
power1,3545.377086338,3546.5561217432146,1
power2,3546.556295661682,3548.027910990318,1
power1,3548.860058438,3550.305409941091,1
power2,3549.4370528653812,3550.689925452881,1
power2,3551.8299398974864,3553.4638625932485,1
power1,3553.039624958,3554.2650548985,1
power2,3555.1985672727797,3556.425961260689,1
power1,3556.313618732,3557.7679015095455,1
power2,3558.404571257541,3559.3917973945413,1
power1,3560.028788972,3561.4140339468,1
power2,3560.634834899115,3562.1852124155316,1
power2,3563.8640707968098,3565.0824627702095,1
power1,3564.510213074,3565.9005397072,1
power2,3566.349885480647,3567.599885480647,1
power1,3568.248603128,3569.501595361636,1
power2,3569.3700341619447,3570.759270153778,1
power1,3571.313618576,3572.6988635508,1
power2,3572.1113998880455,3573.4210095020453,1
power2,3574.5739826589493,3576.124360175366,1
power1,3575.586064352,3576.7650997572146,1
power2,3578.15169725064,3579.3790912385493,1
power1,3578.41888166,3579.807890845333,1
power2,3580.544584282745,3582.016199611381,1
power1,3581.808974504,3583.1710768861667,1
power2,3583.4538791395503,3584.7026420435504,1
power1,3585.96532121,3587.3556478432,1
power2,3586.097011473746,3587.349884061246,1
power2,3588.9313048515787,3590.496410565079,1
power1,3589.889469776,3591.1148997165,1
power2,3592.1373088363407,3593.124534973341,1
power1,3592.81516634,3594.2694491175453,1
power2,3594.8554426495084,3596.405820165925,1
power1,3596.437457324,3597.8227022988003,1
power2,3597.9917508954713,3599.210142868871,1
power1,3600.082968122,3601.4830298773,1
power2,3600.291710275844,3601.76332560448,1
power2,3603.195699392476,3604.423093380385,1
power1,3604.54117241,3605.794164643636,1
power2,3605.704745989246,3607.2551235056626,1
power1,3608.000924696,3609.446276199091,1
power2,3608.655198931745,3609.9648085457447,1
power2,3611.303637006113,3612.721268420386,1
power1,3613.527240428,3614.7526703685,1
power2,3614.021770819281,3615.586876532781,1
power1,3616.476156806,3617.930439583545,1
power2,3617.4136301075073,3618.6665026950072,1
power2,3620.131763920675,3621.765686616437,1
power1,3620.586063884,3621.9713088588,1
power2,3623.2216083407716,3624.2088344777717,1
power1,3624.208354868,3625.5986815011997,1
power2,3625.846814502207,3627.3971920186236,1
power2,3628.8669631835046,3630.0853551569044,1
power1,3629.177395064,3630.3564304692145,1
power2,3631.5386331708064,3633.0102484994427,1
power1,3632.660367164,3634.105718667091,1
power2,3634.372926548639,3635.4532609341004,1
power1,3636.654175172,3638.0542369273003,1
power1,3640.439004854,3641.8011072361664,1
power1,3646.45293668,3647.9072194575456,1
power2,3647.7761928311024,3648.7634189681025,1
power2,3650.006456472676,3651.640379168438,1
power1,3652.559747762,3653.7387831672145,1
power2,3653.096300892773,3654.323694880682,1
power1,3655.555103768,3656.9403487428003,1
power2,3655.651811315409,3657.123426644045,1
power2,3658.579032344974,3659.797424318374,1
power1,3659.479252334,3660.8695789672,1
power2,3660.995151290012,3662.412782704285,1
power2,3663.7597489290456,3665.0693585430454,1
power1,3663.821357552,3665.0467874925,1
power2,3666.663738045678,3668.214115562095,1
power1,3666.677394674,3668.122746177091,1
power1,3670.322905472,3671.6850078541665,1
power2,3670.7757866348293,3672.193418049102,1
power2,3674.0747182713235,3675.3275908588234,1
power1,3674.247054038,3675.6471157933,1
power2,3676.746388258625,3678.311493972125,1
power1,3678.937456466,3680.1904486996364,1
power2,3679.7665369399224,3680.7537630769225,1
power2,3682.020032494429,3683.653955190191,1
power1,3682.025691728,3683.479974505545,1
power2,3685.3421960438563,3686.560588017256,1
power1,3685.531883642,3686.9171286168003,1
power2,3687.7815469018274,3689.331924418244,1
power1,3689.316713324,3690.7070399572,1
power2,3691.289565754719,3692.5169597426284,1
power1,3693.5891591,3694.7681945052145,1
power2,3693.682452786824,3694.9920624008237,1
power2,3696.4005865999916,3697.872201928628,1
power1,3697.30432934,3698.749680843091,1
power2,3699.5136629330214,3700.7665355205213,1
power1,3700.856960882,3702.2570226373,1
power2,3702.208564833256,3703.435958821165,1
power2,3704.554988039495,3706.120093752995,1
power1,3705.036527402,3706.3986297841666,1
power2,3707.4589771561273,3708.4462032931274,1
power1,3708.496279688,3709.9505624655453,1
power2,3709.782168449433,3711.416091145195,1
power1,3712.04891123,3713.2743411705,1
power2,3712.6164618272655,3713.8348538006653,1
power2,3715.125508424036,3716.6758859404526,1
power1,3715.29968519,3716.745036693091,1
power2,3719.0284697967895,3720.1088041822513,1
power1,3719.223833756,3720.4768259896364,1
power2,3721.212269612497,3722.62990102677,1
power1,3722.869344554,3724.2545895288,1
power2,3724.023331077397,3725.588436790897,1
power1,3726.421976096,3727.8123027292,1
power2,3726.6253053258993,3727.878177913399,1
power2,3729.2272795744016,3730.777657090818,1
power1,3730.27646522,3731.4555006252144,1
power2,3732.3635878203645,3733.5909818082737,1
power1,3733.829096762,3735.274448265091,1
power2,3734.7100110266033,3736.1816263552396,1
power2,3737.381681013905,3738.600072987305,1
power1,3738.310520864,3739.5359508045,1
power2,3740.2624382176036,3741.8963609133657,1
power1,3741.375536312,3742.8298190895453,1
power2,3743.1664273342362,3744.1536534712363,1
